gene_names,Group,PRJNA252803_logFC,PRJNA252803_logCPM,PRJNA252803_LR,PRJNA252803_PValue,PRJNA529794_logFC,PRJNA529794_logCPM,PRJNA529794_LR,PRJNA529794_PValue
T4S1,group_10016,-1.099836236,5.746977176,5.488089544,0.019146454,-2.011383645,5.049602368,4.27536864,0.038668575
ESS2,group_10246,1.011811859,4.962645391,4.724161444,0.029741682,2.086752183,6.310986084,8.078216853,0.004480051
WDR92,group_12036,-1.591803825,4.362032555,7.016938779,0.008074216,3.585026483,5.787145333,14.14245426,0.000169475
G137C,group_12213,0.818611377,5.43353348,5.717841577,0.016793362,2.106991469,4.971548968,4.466067477,0.03457448
CAH2,group_14602,-0.616300789,8.087701249,4.282890378,0.03849783,-3.131609748,8.184450405,10.59317691,0.001135058
ECHB,group_2726,-0.540046488,7.386274776,4.737085561,0.029519038,-2.550095685,7.214047586,11.21362093,0.000811991
RBM28,group_3334,-0.896879633,5.344127799,4.633221208,0.031358636,2.241654964,7.263983697,10.45667467,0.001222071
STRN,group_34631,0.773538389,5.338038816,4.277714019,0.038615249,-1.811620144,5.637845928,5.248040134,0.021971505
FAS,group_34817,0.963447669,5.023659867,4.272089969,0.03874325,2.631492824,5.009081115,6.283870719,0.012184169
LMO7,group_34823,1.109520786,4.466018406,4.2488668,0.03927653,1.872405671,8.458580814,6.094070265,0.013563628
BD1L1,group_34841,1.383617427,4.766783588,6.274094634,0.01225157,-2.959980862,5.569011669,9.878016341,0.001672652
PCDH1,group_34903,0.85995742,5.384859645,4.201467693,0.040389009,2.623182731,5.060891814,6.038974308,0.013993412
GCSP,group_34931,-1.012276033,5.279039734,3.909401408,0.048016697,-2.238090673,5.095415019,4.687381421,0.030384919
MYCB2,group_35154,1.831259833,5.018102138,14.88842062,0.000114061,1.095700417,8.894631164,4.36655592,0.036650998
DCNL4,group_4130,0.546322865,6.547121823,4.212787711,0.040120351,-1.676993263,7.120394528,7.388737618,0.006563354
ST2B1,group_4606,-0.875747389,4.872598557,3.857754701,0.049516551,3.698808293,6.967589472,12.09087358,0.000506692
CRIM1,group_4717,0.692107398,6.313148739,5.052166383,0.024595169,2.924881557,5.225970309,8.478989229,0.003592717
UNC80,group_5200,0.981820761,5.20701955,6.517073748,0.010684366,2.575193591,5.875575185,9.594827698,0.001951262
SLIRP,group_5326,-0.438458986,7.523464883,3.94554202,0.046995712,-1.113153435,9.263084235,5.87577253,0.015350636
FCRL2,group_6903,1.009504295,5.672846863,8.004941963,0.004664986,3.186280647,5.677592501,9.160036663,0.002473576
GPC5B,group_6970,-0.4689542,7.18354358,4.323131092,0.03759768,1.87367719,5.892905084,5.084346928,0.024142768
MLC1,group_8131,-0.476141628,7.986545511,4.224375588,0.039847278,-3.052565312,6.664191331,8.088558938,0.004454557
ASTRB|ASTRA,group_8230,0.918903595,5.827327668,6.587631051,0.010268973,1.67562805,6.111717533,4.617931033,0.03163938
TAU,group_8242,0.485785303,7.742355667,4.096910933,0.042961639,-1.358722047,9.490839586,6.923202549,0.008508447